molecule_chembl_id,canonical_smiles,standard_units,FILTEREDCLASS,target_organism,target_chembl_id,UNIPROT,GENE_SYMBOL,O00571,P00533,P01024,P01130,P04233,P07339,P08962,P09668,P11021,P15291,P16070,P17301,P21741,P25774,P25963,P26006,P27361,P35222,P40763,P50591,P55085,Q15904,Q16665,Q99519,Q99814
CHEMBL358704,CC(C)C[C@](C)(NC(=O)N1CCOCC1)C(=O)N[C@H](C#N)CCc1ccccc1,nM,0,Homo,CHEMBL2954,P25774,CTSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1964307,Cc1cccc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,nM,1,Homo,CHEMBL203,P00533,EGFR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL4217440,COc1cccc(CNc2ccnc3[nH]c4ccc([N+](=O)[O-])cc4c23)c1,nM,1,Homo,CHEMBL203,P00533,EGFR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL360801,CC(=O)N1CCc2c(c(-c3ccc(I)cc3)nn2CC(O)CN2CCC(n3c(O)nc4ccc(F)cc43)CC2)C1,nM,1,Homo,CHEMBL2954,P25774,CTSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3093942,N#CCNC(=O)[C@@H]1C[C@@H](S(=O)(=O)c2ccccc2C(F)(F)F)C[C@H]1C(=O)N1CCOCC1,nM,1,Homo,CHEMBL2954,P25774,CTSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3822972,COc1cc2ncccc2cc1NC(=O)c1csc2cncnc12,nM,0,Homo,CHEMBL203,P00533,EGFR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,nM,0,Homo,CHEMBL203,P00533,EGFR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL311109,NC(=O)C1CCN(Cc2ccc(-c3cc4ncnc(Nc5ccc6[nH]ccc6c5)c4s3)cc2)CC1,nM,1,Homo,CHEMBL203,P00533,EGFR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1090986,O=C(CSc1cc(-c2nn(CC(O)CN3CCC(c4ccccn4)CC3)c3c2CNCC3)ccc1C(F)(F)F)N1CCCC1,nM,1,Homo,CHEMBL2954,P25774,CTSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL3651527,N#Cc1ncc(C(=O)NCC(F)(F)F)c(N2CC[C@H](S(=O)(=O)c3ccc(OCC(F)(F)F)cc3Cl)C2)n1,nM,1,Homo,CHEMBL2954,P25774,CTSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL370095,CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O,nM,1,Homo,CHEMBL4026,P40763,STAT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
