UNIPROT,AUROC train,AUROC valid,AUROC test
O00571,1.0,1.0,0.9846491228070176
P00533,0.993931879341636,0.9996313199872222,0.9929062338173177
P01024,1.0,1.0,1.0
P01130,1.0,1.0,1.0
P04233,1.0,0.9993603581994084,0.9977560179518563
P07339,0.9995023338824822,0.9999845274081491,0.9993239828152641
P08962,1.0,1.0,1.0
P09668,0.9940180730558738,0.9986923429299922,0.9913397129186603
P11021,,,0.3555027969298816
P15291,0.9983660130718954,1.0,1.0
P16070,1.0,1.0,1.0
P17301,,1.0,1.0
P21741,1.0,1.0,1.0
P25774,0.9989606190091236,0.9998870004302973,0.9992952428895041
P25963,1.0,1.0,0.9523353084698502
P26006,1.0,1.0,1.0
P27361,0.9891141732283464,0.9995973356006437,0.9456159420289856
P35222,0.9295833333333333,1.0,0.9352351485148515
P40763,0.9803770753212644,0.9999552191737622,0.9851405519953021
P50591,1.0,1.0,1.0
P55085,0.9991474850809889,1.0,0.9999630860095977
Q15904,0.06064296151972724,1.0,1.0
Q16665,0.9856998060990657,0.9999993303699974,0.9718115292712068
Q99519,1.0,1.0,1.0
Q99814,1.0,0.999999436281805,1.0
